"No.","Time","Source","Destination","Protocol","Length","Info"
"118","0.028671","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13365; Unit: 255, Func:   3: Read Holding Registers"
"122","0.258219","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13366; Unit: 255, Func:   3: Read Holding Registers"
"123","0.020914","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13366; Unit: 255, Func:   3: Read Holding Registers"
"125","0.279432","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13367; Unit: 255, Func:   3: Read Holding Registers"
"126","0.009895","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13367; Unit: 255, Func:   3: Read Holding Registers"
"144","1.090682","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13368; Unit: 255, Func:   3: Read Holding Registers"
"145","0.021104","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13368; Unit: 255, Func:   3: Read Holding Registers"
"147","0.278745","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13369; Unit: 255, Func:   3: Read Holding Registers"
"149","0.023263","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13369; Unit: 255, Func:   3: Read Holding Registers"
"152","0.276906","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13370; Unit: 255, Func:   3: Read Holding Registers"
"153","0.014017","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13370; Unit: 255, Func:   3: Read Holding Registers"
"155","0.286094","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13371; Unit: 255, Func:   3: Read Holding Registers"
"156","0.023976","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13371; Unit: 255, Func:   3: Read Holding Registers"
"166","1.076433","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13372; Unit: 255, Func:   3: Read Holding Registers"
"167","0.013733","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13372; Unit: 255, Func:   3: Read Holding Registers"
"171","0.286431","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13373; Unit: 255, Func:   3: Read Holding Registers"
