"No.","Time","Source","Destination","Protocol","Length","Info"
"6795","0.010968","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9351; Unit: 255, Func:   3: Read Holding Registers"
"6852","0.288807","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9352; Unit: 255, Func:   3: Read Holding Registers"
"6855","0.012184","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9352; Unit: 255, Func:   3: Read Holding Registers"
"6917","0.288080","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9353; Unit: 255, Func:   3: Read Holding Registers"
"6920","0.013995","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9353; Unit: 255, Func:   3: Read Holding Registers"
"6988","0.287638","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9354; Unit: 255, Func:   3: Read Holding Registers"
"6993","0.039781","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9354; Unit: 255, Func:   3: Read Holding Registers"
"7218","1.065736","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9355; Unit: 255, Func:   3: Read Holding Registers"
"7226","0.044024","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9355; Unit: 255, Func:   3: Read Holding Registers"
"7281","0.249369","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9356; Unit: 255, Func:   3: Read Holding Registers"
"7285","0.021851","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9356; Unit: 255, Func:   3: Read Holding Registers"
"7349","0.278276","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9357; Unit: 255, Func:   3: Read Holding Registers"
"7352","0.019462","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9357; Unit: 255, Func:   3: Read Holding Registers"
"7421","0.280932","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9358; Unit: 255, Func:   3: Read Holding Registers"
"7422","0.015203","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9358; Unit: 255, Func:   3: Read Holding Registers"
"7632","1.085512","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9359; Unit: 255, Func:   3: Read Holding Registers"
"7639","0.024417","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9359; Unit: 255, Func:   3: Read Holding Registers"
"7704","0.275340","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9360; Unit: 255, Func:   3: Read Holding Registers"
"7711","0.043809","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9360; Unit: 255, Func:   3: Read Holding Registers"
"7769","0.256459","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9361; Unit: 255, Func:   3: Read Holding Registers"
"7772","0.013445","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9361; Unit: 255, Func:   3: Read Holding Registers"
"7824","0.301901","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9362; Unit: 255, Func:   3: Read Holding Registers"
"7826","0.000187","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9362; Unit: 255, Func:   3: Read Holding Registers"
"8058","1.085168","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9363; Unit: 255, Func:   3: Read Holding Registers"
"8061","0.011779","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9363; Unit: 255, Func:   3: Read Holding Registers"
"8124","0.288155","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9364; Unit: 255, Func:   3: Read Holding Registers"
"8131","0.024194","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9364; Unit: 255, Func:   3: Read Holding Registers"
"8188","0.276236","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9365; Unit: 255, Func:   3: Read Holding Registers"
"8195","0.021768","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9365; Unit: 255, Func:   3: Read Holding Registers"
"8254","0.278409","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9366; Unit: 255, Func:   3: Read Holding Registers"
"8255","0.010648","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9366; Unit: 255, Func:   3: Read Holding Registers"
"8512","1.095420","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9367; Unit: 255, Func:   3: Read Holding Registers"
"8514","0.015135","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9367; Unit: 255, Func:   3: Read Holding Registers"
"8580","0.279136","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9368; Unit: 255, Func:   3: Read Holding Registers"
"8585","0.022053","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9368; Unit: 255, Func:   3: Read Holding Registers"
"8647","0.278112","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9369; Unit: 255, Func:   3: Read Holding Registers"
"8655","0.035925","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9369; Unit: 255, Func:   3: Read Holding Registers"
"8703","0.264463","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9370; Unit: 255, Func:   3: Read Holding Registers"
